GEOID,NAME,variable,value
01,Alabama,P002005,1957932
02,Alaska,P002005,241338
04,Arizona,P002005,651358
05,Arkansas,P002005,1278329
06,California,P002005,1880350
22,Louisiana,P002005,1215567
21,Kentucky,P002005,1806024
08,Colorado,P002005,696435
09,Connecticut,P002005,429155
10,Delaware,P002005,149985
11,District of Columbia,P002005,0
12,Florida,P002005,1661466
13,Georgia,P002005,2415502
15,Hawaii,P002005,109812
16,Idaho,P002005,461212
17,Illinois,P002005,1477079
18,Indiana,P002005,1786702
19,Iowa,P002005,1096099
20,Kansas,P002005,736157
23,Maine,P002005,814819
24,Maryland,P002005,739221
25,Massachusetts,P002005,525640
26,Michigan,P002005,2513683
27,Minnesota,P002005,1417614
28,Mississippi,P002005,1503073
29,Missouri,P002005,1770556
30,Montana,P002005,436401
31,Nebraska,P002005,490655
32,Nevada,P002005,156754
33,New Hampshire,P002005,522598
34,New Jersey,P002005,467768
35,New Mexico,P002005,464818
36,New York,P002005,2349997
37,North Carolina,P002005,3233727
38,North Dakota,P002005,269719
39,Ohio,P002005,2546810
40,Oklahoma,P002005,1266322
41,Oregon,P002005,726692
42,Pennsylvania,P002005,2711092
44,Rhode Island,P002005,97524
45,South Carolina,P002005,1557555
46,South Dakota,P002005,352933
47,Tennessee,P002005,2132860
48,Texas,P002005,3847522
49,Utah,P002005,260290
50,Vermont,P002005,382356
51,Virginia,P002005,1963930
53,Washington,P002005,1072671
54,West Virginia,P002005,950184
55,Wisconsin,P002005,1697348
56,Wyoming,P002005,198633
72,Puerto Rico,P002005,232533
