GEOID,NAME,rural_pct_2010
01,Alabama,40.963182903825654
02,Alaska,33.98021207184705
04,Arizona,10.190179406594194
05,Arkansas,43.839675875659054
06,California,5.047383424192588
22,Louisiana,26.813749235668283
21,Kentucky,41.619526534630516
08,Colorado,13.847839694456132
09,Connecticut,12.00736857449588
10,Delaware,16.703343452859563
11,District of Columbia,0
12,Florida,8.836969338838625
13,Georgia,24.933820400049424
15,Hawaii,8.072625102826507
16,Idaho,29.42187394343645
17,Illinois,11.512129722058898
18,Indiana,27.556393609798697
19,Iowa,35.98067198340312
20,Kansas,25.80184205490274
23,Maine,61.340177858277976
24,Maryland,12.803573952395336
25,Massachusetts,8.027944161161239
26,Michigan,25.432765661234118
27,Minnesota,26.727640379530254
28,Mississippi,50.654619338744986
29,Missouri,29.563826708857867
30,Montana,44.10697230181471
31,Nebraska,26.865464883064007
32,Nevada,5.8045191518323485
33,New Hampshire,39.696916754654495
34,New Jersey,5.320446311113396
35,New Mexico,22.572976900016947
36,New York,12.12707519033598
37,North Carolina,33.91256635872561
38,North Dakota,40.10148812577034
39,Ohio,22.07609861705071
40,Oklahoma,33.75642535182658
41,Oregon,18.9683623965499
42,Pennsylvania,21.343183036815386
44,Rhode Island,9.265348429126128
45,South Carolina,33.674214613163414
46,South Dakota,43.34827679382938
47,Tennessee,33.60896171746292
48,Texas,15.300998852242747
49,Utah,9.417540889002256
50,Vermont,61.104514487623476
51,Virginia,24.545983114161388
53,Washington,15.951589253688727
54,West Virginia,51.27830958977741
55,Wisconsin,29.84617862607715
56,Wyoming,35.241986707497524
72,Puerto Rico,6.241174688099621
