GEOID,NAME,rural_pct_2000
01,Alabama,44.555485597355585
02,Alaska,34.40165759603913
04,Arizona,11.832791749632404
05,Arkansas,47.47591082516646
06,California,5.556225076500558
08,Colorado,15.532096285252162
09,Connecticut,12.259522281912105
10,Delaware,19.887953037263912
11,District of Columbia,0
12,Florida,10.714037673242368
13,Georgia,28.367474900301755
15,Hawaii,8.52734996950155
16,Idaho,33.575871766594304
17,Illinois,12.156674296999032
18,Indiana,29.215991816442273
19,Iowa,38.918862026214455
20,Kansas,28.55764988926573
21,Kentucky,44.23728817752821
22,Louisiana,27.373407241390424
23,Maine,59.771845044759566
24,Maryland,13.930330411521904
25,Massachusetts,8.626896076717681
26,Michigan,25.34588915528427
27,Minnesota,29.056328932393043
28,Mississippi,51.229602996212556
29,Missouri,30.593466448360928
30,Montana,45.9232205897838
31,Nebraska,30.24304271172812
32,Nevada,8.48794724602491
33,New Hampshire,40.739335127603
34,New Jersey,5.648243774028891
35,New Mexico,25.043072027865154
36,New York,12.509579633331974
37,North Carolina,39.752845988222845
38,North Dakota,44.10495172843351
39,Ohio,22.64405265855966
40,Oklahoma,34.66273349921493
41,Oregon,21.25607098149032
42,Pennsylvania,22.937387947321135
44,Rhode Island,9.078629691916298
45,South Carolina,39.5035707769568
46,South Dakota,48.14464975544615
47,Tennessee,36.3712791225186
48,Texas,17.492664908866466
49,Utah,11.769149580707953
50,Vermont,61.82035290813318
51,Virginia,26.96271746263164
53,Washington,18.035174371208193
54,West Virginia,53.94792141318244
55,Wisconsin,31.695283550923577
56,Wyoming,34.92188860671309
72,Puerto Rico,5.594928333433982
